date,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,temperature,pressure,humidity,dc_output,ac_output,energy_kWh
2017-05-13,0,0,1,0,0,0,0,238.80000000000004,2432.6299999999997,1871.0,23308.738,22336.221999999998,8.24
2017-05-14,0,0,0,1,0,0,0,251.29999999999998,2435.2000000000003,1895.0,11733.576,11145.192000000001,14.32
2017-05-15,0,1,0,0,0,0,0,219.2,2428.47,2062.0,17508.737000000005,16734.448,12.71
2017-05-16,0,0,0,0,0,1,0,218.0,2410.31,1945.0,23423.311000000005,22438.54,9.790000000000001
2017-05-17,0,0,0,0,0,0,1,285.90000000000003,2443.8999999999996,1793.0,20244.024000000005,19366.482000000004,10.0
2017-05-18,0,0,0,0,1,0,0,322.7,2449.8599999999997,1731.0,25546.134,24491.079,11.690000000000001
2017-05-19,1,0,0,0,0,0,0,331.4,2447.36,1784.0,21951.843999999994,21029.472000000005,10.779999999999998
2017-05-20,0,0,1,0,0,0,0,346.99999999999994,2450.13,1867.0,9345.353000000001,8814.363999999998,5.690000000000002
2017-05-21,0,0,0,1,0,0,0,370.69999999999993,2455.33,1895.0,17634.310999999998,16849.577999999998,4.720000000000002
2017-05-22,0,1,0,0,0,0,0,398.4000000000001,2448.1700000000005,1714.0,10764.746000000001,10192.885,4.61
2017-05-23,0,0,0,0,0,1,0,391.40000000000003,2433.96,1626.0,23088.302,22114.273999999998,9.690000000000001
2017-05-24,0,0,0,0,0,0,1,302.70000000000005,2433.6600000000003,1679.0,10659.313,10085.266000000003,9.280000000000001
2017-05-25,0,0,0,0,1,0,0,330.79999999999995,2427.9799999999996,1843.0,15746.307999999999,15025.315,7.54
2017-05-26,1,0,0,0,0,0,0,372.3,2433.2800000000007,1818.0,22331.862,21362.742,6.900000000000001
2017-05-27,0,0,1,0,0,0,0,409.09999999999997,2442.42,1698.0,24504.703999999998,23465.603,11.05
2017-05-28,0,0,0,1,0,0,0,450.3,2442.480000000001,1574.0,19413.015,18558.441,14.040000000000001
2017-05-29,0,1,0,0,0,0,0,421.29999999999995,2434.9500000000003,1710.0,25270.438,24204.14,15.05
2017-05-30,0,0,0,0,0,1,0,316.00000000000006,2432.3700000000003,2054.0,9681.515000000001,9133.029999999999,7.250000000000001
2017-05-31,0,0,0,0,0,0,1,333.59999999999997,2427.74,1995.0,24498.446999999996,23461.386,6.029999999999999
2017-06-01,0,0,0,0,1,0,0,355.0000000000001,2428.2999999999997,1953.0,21955.654,20984.208,7.74
2017-06-02,1,0,0,0,0,0,0,355.8,2439.850000000001,1868.0,20822.332,19928.935999999998,7.0699999999999985
2017-06-03,0,0,1,0,0,0,0,343.1,2438.6699999999996,1761.0,20913.483,20015.926,14.61
2017-06-04,0,0,0,1,0,0,0,333.1,2443.3700000000003,1599.0,20356.163999999997,19474.574000000004,13.480000000000002
2017-06-05,0,1,0,0,0,0,0,332.49999999999994,2448.9300000000003,1587.0,12769.23,12134.869999999999,8.58
2017-06-06,0,0,0,0,0,1,0,428.99999999999994,2433.38,1454.0,8843.811000000002,8333.064999999999,12.059999999999999
2017-06-07,0,0,0,0,0,0,1,437.69999999999993,2417.19,1497.0,8570.593,8068.888999999999,15.639999999999999
2017-06-08,0,0,0,0,1,0,0,334.90000000000003,2414.7099999999996,2010.0,9502.861,8971.876,13.32
2017-06-09,1,0,0,0,0,0,0,318.1,2426.15,1663.0,10872.747000000001,10302.511999999997,6.11
2017-06-10,0,0,1,0,0,0,0,335.7,2424.72,1764.0,14685.188,13998.121,7.240000000000001
2017-06-11,0,0,0,1,0,0,0,356.3999999999999,2436.2000000000003,1799.0,8358.264,7861.075,8.620000000000003
2017-06-12,0,1,0,0,0,0,0,387.8,2434.4500000000003,1741.0,18421.588000000003,17606.82,9.49
2017-06-13,0,0,0,0,0,1,0,318.4,2441.959999999999,1760.0,14592.677999999998,13900.964000000002,8.48
2017-06-14,0,0,0,0,0,0,1,319.8,2442.83,1618.0,11658.853000000001,11070.072,9.290000000000001
2017-06-15,0,0,0,0,1,0,0,318.9,2424.53,2039.0,21376.329999999998,20464.632,8.520000000000001
2017-06-16,1,0,0,0,0,0,0,379.90000000000003,2436.05,1717.0,25639.269000000004,24575.829,10.060000000000002
2017-06-17,0,0,1,0,0,0,0,330.3,2448.859999999999,1739.0,24641.094999999998,23617.723,13.860000000000003
2017-06-18,0,0,0,1,0,0,0,325.30000000000007,2450.5900000000006,2156.0,5857.021,5421.929000000001,9.15
2017-06-19,0,1,0,0,0,0,0,363.7,2441.21,2183.0,17436.733,16671.896,6.7700000000000005
2017-06-20,0,0,0,0,0,1,0,400.2000000000001,2442.6900000000005,1973.0,24834.103999999996,23801.855,5.880000000000002
2017-06-21,0,0,0,0,0,0,1,368.4000000000001,2457.6199999999994,1708.0,24296.472,23281.998000000003,7.540000000000002
2017-06-22,0,0,0,0,1,0,0,374.8,2460.380000000001,1758.0,23943.231,22950.196,11.299999999999999
2017-06-23,1,0,0,0,0,0,0,411.99999999999994,2454.18,1746.0,23162.179,22183.047,6.880000000000001
2017-06-24,0,0,1,0,0,0,0,461.20000000000005,2446.35,1698.0,16249.903999999999,15512.174,14.0
2017-06-25,0,0,0,1,0,0,0,491.6000000000001,2429.57,1717.0,24850.154,23819.677,21.619999999999997
